District,District Code,School,School Code,Grade,Subject,Total Number of Students,Total Number Tested,Smarter Balanced Participation Rate,Total Number with Scored Tests,Count,%,Count,%,Count,%,Count,%,Count,%,Average VSS
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,ELA,89,89,100,89,8,9,21,23.6,24,27,36,40.4,60,67.4,2475
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,3,Math,89,89,100,89,*,*,*,*,20,22.5,52,58.4,72,80.9,2504
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,ELA,90,89,98.9,89,10,11.2,7,7.9,23,25.8,49,55.1,72,80.9,2533
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,4,Math,90,89,98.9,89,*,*,*,*,31,34.8,47,52.8,78,87.6,2543
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,ELA,92,92,100,92,24,26.1,16,17.4,29,31.5,23,25,52,56.5,2515
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,5,Math,92,92,100,92,22,23.9,30,32.6,21,22.8,19,20.7,40,43.5,2508
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,ELA,83,82,98.8,82,21,25.6,21,25.6,27,32.9,13,15.9,40,48.8,2519
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,6,Math,83,81,97.6,81,26,32.1,26,32.1,16,19.8,13,16,29,35.8,2509
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,ELA,82,82,100,82,26,31.7,21,25.6,21,25.6,14,17.1,35,42.7,2538
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,7,Math,82,82,100,82,37,45.1,19,23.2,13,15.9,13,15.9,26,31.7,2513
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,ELA,89,89,100,89,16,18,28,31.5,37,41.6,8,9,45,50.6,2565
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,8,Math,89,89,100,89,28,31.5,22,24.7,30,33.7,9,10.1,39,43.8,2541
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,ELA,89,89,100,89,7,7.9,24,27,24,27,34,38.2,58,65.2,2464
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,3,Math,89,89,100,89,*,*,*,*,28,31.5,42,47.2,70,78.7,2486
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,ELA,88,88,100,88,14,15.9,11,12.5,24,27.3,39,44.3,63,71.6,2518
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,4,Math,88,88,100,88,*,*,*,*,21,23.9,42,47.7,63,71.6,2527
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,ELA,128,128,100,128,29,22.7,28,21.9,39,30.5,32,25,71,55.5,2507
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,5,Math,128,128,100,128,29,22.7,44,34.4,27,21.1,28,21.9,55,43,2508
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,ELA,121,121,100,121,36,29.8,30,24.8,35,28.9,20,16.5,55,45.5,2512
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,6,Math,121,121,100,121,47,38.8,26,21.5,31,25.6,17,14,48,39.7,2500
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,ELA,130,130,100,130,22,16.9,45,34.6,50,38.5,13,10,63,48.5,2550
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,7,Math,130,130,100,130,41,31.5,34,26.2,30,23.1,25,19.2,55,42.3,2535
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,ELA,125,124,99.2,124,16,12.9,30,24.2,59,47.6,19,15.3,78,62.9,2590
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,8,Math,125,122,97.6,122,40,32.8,26,21.3,27,22.1,29,23.8,56,45.9,2557
Amistad Academy District,2790013,Amistad Academy,2795113,3,ELA,90,90,100,90,14,15.6,32,35.6,18,20,26,28.9,44,48.9,2437
Amistad Academy District,2790013,Amistad Academy,2795113,3,Math,90,90,100,90,16,17.8,21,23.3,35,38.9,18,20,53,58.9,2441
Amistad Academy District,2790013,Amistad Academy,2795113,4,ELA,90,89,98.9,89,17,19.1,22,24.7,23,25.8,27,30.3,50,56.2,2485
Amistad Academy District,2790013,Amistad Academy,2795113,4,Math,90,89,98.9,89,15,16.9,23,25.8,33,37.1,18,20.2,51,57.3,2490
Amistad Academy District,2790013,Amistad Academy,2795113,5,ELA,96,96,100,96,19,19.8,30,31.3,28,29.2,19,19.8,47,49,2501
Amistad Academy District,2790013,Amistad Academy,2795113,5,Math,96,96,100,96,34,35.4,34,35.4,19,19.8,9,9.4,28,29.2,2484
Amistad Academy District,2790013,Amistad Academy,2795113,6,ELA,92,90,97.8,90,18,20,28,31.1,26,28.9,18,20,44,48.9,2534
Amistad Academy District,2790013,Amistad Academy,2795113,6,Math,92,90,97.8,90,14,15.6,23,25.6,25,27.8,28,31.1,53,58.9,2564
Amistad Academy District,2790013,Amistad Academy,2795113,7,ELA,93,93,100,93,27,29,24,25.8,36,38.7,6,6.5,42,45.2,2525
Amistad Academy District,2790013,Amistad Academy,2795113,7,Math,93,92,98.9,92,27,29.3,22,23.9,21,22.8,22,23.9,43,46.7,2550
Amistad Academy District,2790013,Amistad Academy,2795113,8,ELA,80,80,100,80,11,13.8,23,28.8,34,42.5,12,15,46,57.5,2578
Amistad Academy District,2790013,Amistad Academy,2795113,8,Math,80,80,100,80,11,13.8,23,28.8,28,35,18,22.5,46,57.5,2596
