StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Colorado,CO,School,Yes,5280 High School,Regular school,80336006756,,Regular local school district,803360,,,01/27/21,02/14/21,4,4,,,,,,,,,,,,,
Colorado,CO,School,Yes,5280 High School,Regular school,80336006756,,Regular local school district,803360,,,05/03/2021,05/29/21,8,8,,,,,,,,,,,,,
Colorado,CO,School,No,Academia Ana Marie Sandoval,Regular school,80336001750,,Regular local school district,803360,,,11/13/20,12/23/20,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Academy Charter School,Regular school,80345000492,,Regular local school district,803450,,,11/17/20,12/08/2020,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Adams City High School,Regular school,80195000010,,Regular local school district,801950,,,05/05/2021,05/17/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,80480006587,,Regular local school district,804800,,,12/01/2020,12/15/20,2,2,,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,80480006587,,Regular local school district,804800,,,01/29/21,03/16/21,8,4,4,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,80480006587,,Regular local school district,804800,,,04/21/21,05/26/21,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Air Academy High School,Regular school,80192000002,,Regular local school district,801920,,,11/13/20,12/15/20,3,,3,,,,,,,,,,,,
Colorado,CO,School,No,Air Academy High School,Regular school,80192000002,,Regular local school district,801920,,,03/18/21,04/05/2021,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Alameda International Jr/Sr High,Regular school,80480000691,,Regular local school district,804800,,,10/29/20,12/07/2020,14,14,,,,,,,,,,,,,
Colorado,CO,School,,Alamosa Elementary K-2,,80207006798,,Regular local school district,802070,,,04/26/21,05/21/21,2,,2,,,,,,,,,,,,
Colorado,CO,School,No,Alamosa High School,Regular school,80207000027,,Regular local school district,802070,,,05/12/2021,06/18/21,16,16,,,,,,,,,,,,,
Colorado,CO,School,No,Alicia Sanchez Elementary School,Regular school,80249001403,,Regular local school district,802490,,,05/18/21,05/29/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Altitude Elementary School,Regular school,80291006750,,Regular local school district,802910,,,03/10/2021,04/14/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Altura Elementary School,Regular school,80234000052,,Regular local school district,802340,,,04/23/21,05/18/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Castle Pines,Regular school,80345001896,,Regular local school district,803450,,,11/24/20,02/05/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Castle Pines,Regular school,80345001896,,Regular local school district,803450,,,11/24/20,02/05/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Lincoln Meadows,Regular school,80345001896,,Regular local school district,803450,,,02/18/21,03/17/21,14,12,2,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Lincoln Meadows,Regular school,80345001896,,Regular local school district,803450,,,05/12/2021,06/06/2021,4,4,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Motsenbocker,Regular school,80345001896,,Regular local school district,803450,,,11/02/2020,11/28/20,4,1,3,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Motsenbocker,Regular school,80345001896,,Regular local school district,803450,,,02/22/21,03/17/21,9,8,1,,,,,,,,,,,,
Colorado,CO,School,No,Antelope Trails Elementary School,Regular school,80192000123,,Regular local school district,801920,,,03/12/2021,04/01/2021,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Antonito High School,Regular school,80213000035,,Regular local school district,802130,,,03/09/2021,04/04/2021,4,4,,,,,,,,,,,,,
Colorado,CO,School,No,Aragon Elementary,Regular school,80408000566,,Regular local school district,804080,,,11/22/20,12/30/20,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Arapahoe High School,Regular school,80531000873,,Regular local school district,805310,,,11/13/20,12/22/20,9,9,,,,,,,,,,,,,
Colorado,CO,School,No,Arapahoe High School,Regular school,80531000873,,Regular local school district,805310,,,04/28/21,05/19/21,13,13,,,,,,,,,,,,,
Colorado,CO,School,No,Arvada West High School,Regular school,80480000695,,Regular local school district,804800,,,10/21/20,11/24/20,7,7,,,,,,,,,,,,,
Colorado,CO,School,No,Arvada West High School,Regular school,80480000695,,Regular local school district,804800,,,03/09/2021,05/29/21,25,25,,,,,,,,,,,,,
Colorado,CO,School,No,Ashbury Elementary School,Regular school,80336000307,,Regular local school district,803360,,,04/30/21,05/23/21,4,4,,,,,,,,,,,,,
Colorado,CO,School,No,Aspen Elementary School,Regular school,80228000045,,Regular local school district,802280,,,03/11/2021,04/02/2021,2,1,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Aspen View Academy,Regular school,80345006588,,Regular local school district,803450,,,11/23/20,01/19/21,4,2,2,,,,,,,,,,,,
Colorado,CO,School,Yes,Aspen View Academy,Regular school,80345006588,,Regular local school district,803450,,,05/03/2021,06/06/2021,4,2,2,,,,,,,,,,,,
Colorado,CO,School,No,Audubon Elementary School,Regular school,80306000222,,Regular local school district,803060,,,02/23/21,03/18/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Audubon Elementary School,Regular school,80306000222,,Regular local school district,803060,,,04/28/21,05/18/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Aurora Hills Middle School,Regular school,80234000054,,Regular local school district,802340,,,05/07/2021,05/31/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Aurora West College Preparatory Academy,Regular school,80234000082,,Regular local school district,802340,,,11/03/2020,12/10/2020,5,,5,,,,,,,,,,,,
Colorado,CO,School,No,Baca Elementary School,Regular school,80612001041,,Regular local school district,806120,,,04/24/21,05/24/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Bacon Elementary School,Regular school,80399001973,,Regular local school district,803990,,,04/19/21,05/28/21,17,16,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Banning Lewis Ranch Academy,Regular school,80387002027,,Regular local school district,803870,,,05/27/21,06/19/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Barnum Elementary School,Regular school,80336000311,,Regular local school district,803360,,,11/09/2020,12/01/2020,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Barone Middle School,Regular school,80561000966,,Regular local school district,805610,,,02/04/2021,05/04/2021,14,9,5,,,,,,,,,,,,
Colorado,CO,School,No,Basalt High School,Regular school,80426000584,,Regular local school district,804260,,,03/09/2021,05/14/21,6,5,1,,,,,,,,,,,,
Colorado,CO,School,No,Basalt Middle School,Regular school,80426000133,,Regular local school district,804260,,,02/09/2021,03/03/2021,4,2,2,,,,,,,,,,,,
