,year,Level,District_Code,District_Name,School_Name,Content,Grade,Mean_Scale_Score
2783,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,english,3,752
2784,2017,SCHOOL,1040,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,english,3,754
2785,2017,SCHOOL,1040,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,english,3,749
2786,2017,SCHOOL,1040,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,english,3,774
2787,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,english,3,756
2789,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,english,3,769
2790,2017,SCHOOL,1040,ACADEMY 20,DOUGLASS VALLEY ELEMENTARY SCHOOL,english,3,743
2791,2017,SCHOOL,1040,ACADEMY 20,EDITH WOLFORD ELEMENTARY SCHOOL,english,3,740
2792,2017,SCHOOL,1040,ACADEMY 20,EXPLORER ELEMENTARY SCHOOL,english,3,758
2793,2017,SCHOOL,1040,ACADEMY 20,FOOTHILLS ELEMENTARY SCHOOL,english,3,740
2794,2017,SCHOOL,1040,ACADEMY 20,FRONTIER ELEMENTARY SCHOOL,english,3,735
2795,2017,SCHOOL,1040,ACADEMY 20,HIGH PLAINS ELEMENTARY SCHOOL,english,3,738
2796,2017,SCHOOL,1040,ACADEMY 20,MOUNTAIN VIEW ELEMENTARY SCHOOL,english,3,773
2797,2017,SCHOOL,1040,ACADEMY 20,PIONEER ELEMENTARY SCHOOL,english,3,742
2798,2017,SCHOOL,1040,ACADEMY 20,PRAIRIE HILLS ELEMENTARY SCHOOL,english,3,756
2799,2017,SCHOOL,1040,ACADEMY 20,RANCH CREEK ELEMENTARY,english,3,747
2800,2017,SCHOOL,1040,ACADEMY 20,ROCKRIMMON ELEMENTARY SCHOOL,english,3,732
2801,2017,SCHOOL,1040,ACADEMY 20,THE DA VINCI ACADEMY SCHOOL,english,3,759
2802,2017,SCHOOL,1040,ACADEMY 20,WOODMEN-ROBERTS ELEMENTARY SCHOOL,english,3,748
2803,2017,SCHOOL,1040,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,english,4,744
2804,2017,SCHOOL,1040,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,english,4,755
2805,2017,SCHOOL,1040,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,english,4,758
2806,2017,SCHOOL,1040,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,english,4,760
2807,2017,SCHOOL,1040,ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,english,4,755
2809,2017,SCHOOL,1040,ACADEMY 20,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,english,4,758
2810,2017,SCHOOL,1040,ACADEMY 20,DOUGLASS VALLEY ELEMENTARY SCHOOL,english,4,758
2811,2017,SCHOOL,1040,ACADEMY 20,EDITH WOLFORD ELEMENTARY SCHOOL,english,4,757
2812,2017,SCHOOL,1040,ACADEMY 20,EXPLORER ELEMENTARY SCHOOL,english,4,750
2813,2017,SCHOOL,1040,ACADEMY 20,FOOTHILLS ELEMENTARY SCHOOL,english,4,745
2814,2017,SCHOOL,1040,ACADEMY 20,FRONTIER ELEMENTARY SCHOOL,english,4,737
