school,district,state
air academy high school,academy 20,colorado
academy online,academy 20,colorado
the classical academy high school,academy 20,colorado
discovery canyon campus high school,academy 20,colorado
liberty high school,academy 20,colorado
pine creek high school,academy 20,colorado
rampart high school,academy 20,colorado
horizon high school,adams 12 five star schools,colorado
legacy high school,adams 12 five star schools,colorado
thornton high school,adams 12 five star schools,colorado
mountain range high school,adams 12 five star schools,colorado
northglenn high school,adams 12 five star schools,colorado
p-tech early college at northglenn high school,adams 12 five star schools,colorado
adams city high school,adams county 14,colorado
aurora central high school,adams-arapahoe 28j,colorado
gateway high school,adams-arapahoe 28j,colorado
hinkley high school,adams-arapahoe 28j,colorado
rangeview high school,adams-arapahoe 28j,colorado
william smith high school,adams-arapahoe 28j,colorado
vista peak 9-12 preparatory,adams-arapahoe 28j,colorado
alamosa high school,alamosa re-11j,colorado
alamosa ombudsman school of excellence,alamosa re-11j,colorado
pagosa springs high school,archuleta county 50 jt,colorado
aspen high school,aspen 1,colorado
highland high school,ault-highland re-9,colorado
bayfield high school,bayfield 10 jt-r,colorado
bennett high school,bennett 29j,colorado
simla high school,big sandy 100j,colorado
boulder high school,boulder valley re 2,colorado
broomfield high school,boulder valley re 2,colorado
centaurus high school,boulder valley re 2,colorado
fairview high school,boulder valley re 2,colorado
monarch high school,boulder valley re 2,colorado
new vista high school,boulder valley re 2,colorado
brush high school,brush re-2(j),colorado
buena vista high school,buena vista r-31,colorado
calhan high school,calhan rj-1,colorado
canon city high school,canon city re-1,colorado
center high school,center 26 jt,colorado
animas high school,charter school institute,colorado
colorado springs early colleges,charter school institute,colorado
colorado early colleges - parker,charter school institute,colorado
launch high school,charter school institute,colorado
new america school - lowry,charter school institute,colorado
the pinnacle charter school high,charter school institute,colorado
victory preparatory academy high state charter sch,charter school institute,colorado
youth & family academy charter,charter school institute,colorado
cherokee trail high school,cherry creek 5,colorado
cherry creek high school,cherry creek 5,colorado
eaglecrest high school,cherry creek 5,colorado
grandview high school,cherry creek 5,colorado
overland high school,cherry creek 5,colorado
smoky hill high school,cherry creek 5,colorado
cheyenne mountain high school,cheyenne mountain 12,colorado
the vanguard school (high),cheyenne mountain 12,colorado
clear creek high school,clear creek re-1,colorado
pikes peak online school,colorado digital boces,colorado
civa charter academy,colorado springs 11,colorado
coronado high school,colorado springs 11,colorado
doherty high school,colorado springs 11,colorado
early college high school,colorado springs 11,colorado
mitchell high school,colorado springs 11,colorado
palmer high school,colorado springs 11,colorado
crowley county primary,crowley county re-1-j,colorado
crowley county ward intermediate,crowley county re-1-j,colorado
custer county high school,custer county school district c-1,colorado
de beque elementary school,de beque 49jt,colorado
del norte high school,del norte c-7,colorado
underwood elementary school,del norte c-7,colorado
del norte middle school,del norte c-7,colorado
cedaredge high school,delta county 50(j),colorado
delta high school,delta county 50(j),colorado
hotchkiss high school,delta county 50(j),colorado
delta vision school,delta county 50(j),colorado
abraham lincoln high school,denver county 1,colorado
ridge view academy charter school,denver county 1,colorado
academy of urban learning,denver county 1,colorado
collegiate preparatory academy,denver county 1,colorado
career education center early college,denver county 1,colorado
compassion road academy,denver county 1,colorado
ace community challenge school,denver county 1,colorado
dsst: green valley ranch high school,denver county 1,colorado
dsst: cole high school,denver county 1,colorado
dsst: stapleton high school,denver county 1,colorado
dsst: byers high school,denver county 1,colorado
denver school of innovation and sustainable design,denver county 1,colorado
dsst college view high school,denver county 1,colorado
east high school,denver county 1,colorado
