school,district,state
pleasant valley school,groton school district,connecticut
booth free school,regional school district 12,connecticut
sharon center school,sharon school district,connecticut
wapping elementary school,south windsor school district,connecticut
psa civic leadership high school,capitol region education council,connecticut
therapeutic day program,cooperative educational services,connecticut
eastbury school,glastonbury school district,connecticut
batchelder school,hartford school district,connecticut
simpson-waverly school,hartford school district,connecticut
robertson school,manchester school district,connecticut
james morris school,regional school district 06,connecticut
east school,torrington school district,connecticut
wallace bilingual,waterbury school district,connecticut
mill academy,area cooperative educational services,connecticut
thomas edison magnet middle school,area cooperative educational services,connecticut
wintergreen interdistrict  magnet school,area cooperative educational services,connecticut
anna h. rockwell school,bethel school district,connecticut
frank a. berry school,bethel school district,connecticut
ana grace academy of the arts elementary school,capitol region education council,connecticut
international magnet school for global citizenship,capitol region education council,connecticut
metropolitan learning center for global and international studies,capitol region education council,connecticut
two rivers magnet middle school,capitol region education council,connecticut
abraham pierson school,clinton school district,connecticut
woodland school,east hartford school district,connecticut
carl c. cutler middle school,groton school district,connecticut
charles barnum school,groton school district,connecticut
claude chester school,groton school district,connecticut
mary morrisson school,groton school district,connecticut
northeast academy elementary school,groton school district,connecticut
s. b. butler school,groton school district,connecticut
west side middle school,groton school district,connecticut
bellizzi school,hartford school district,connecticut
burr school,hartford school district,connecticut
kinsella magnet school of performing arts,hartford school district,connecticut
stem magnet at fisher school,hartford school district,connecticut
dual language & arts magnet middle school,learn,connecticut
riverside magnet school at goodwin college,learn,connecticut
ledyard center school,ledyard school district,connecticut
island avenue elementary school,madison school district,connecticut
washington school,manchester school district,connecticut
keigwin middle school,middletown school district,connecticut
woodrow wilson middle school,middletown school district,connecticut
chamberlain  elementary school,new britain school district,connecticut
house of arts letters and science (hals)  academy,new britain school district,connecticut
columbus family academy,new haven school district,connecticut
davis 21st century magnet elementary school,new haven school district,connecticut
quinnipiac real world math stem school,new haven school district,connecticut
strong 21st century communications magnet and scsu lab school,new haven school district,connecticut
west rock authors academy,new haven school district,connecticut
c.b. jennings dual language & international elementary magnet,new london school district,connecticut
harbor,new london school district,connecticut
science and technology magnet school of southeastern connecticut,new london school district,connecticut
columbus magnet school,norwalk school district,connecticut
jefferson magnet school,norwalk school district,connecticut
kendall elementary school,norwalk school district,connecticut
ponus ridge middle school,norwalk school district,connecticut
wolfpit school,norwalk school district,connecticut
great oak middle school,oxford school district,connecticut
oxford center school,oxford school district,connecticut
plymouth center school,plymouth school district,connecticut
wamogo regional high school,regional school district 06,connecticut
frederick brewster school,regional school district 13,connecticut
