,district,districtname
0,elizabeth c-1,elizabeth school district
51,falcon 49,el paso county colorado school district 49
53,la veta re-2,la veta school district re-2
54,meeker re1,meeker school district re1
55,moffat county re:no 1,moffat county school district re: no. 1
56,mountain valley re 1,mountain valley school district no. re 1
57,arriba-flagler c-20,arriba-flagler consolidated school district no. 20
63,colorado digital boces,colorado river boces
64,de beque 49jt,de beque joint district no. 49 of the counties of mesa and
67,del norte c-7,upper rio grande school district c-7
73,haxtun re-2j,haxtun school district no. re-2j
74,south conejos re-10,south conejos school district no. re10
126,weld county s/d re-8,weld re-8 schools
187,mc clave re-2,mcclave school district no. re-2
281,st vrain valley re 1j,boulder re-1j st vrain
333,dolores county re no.2,weld county school district no. re-2
336,north park r-1,north park school district r-1
337,branson reorganized 82,branson reorganized school district no. 82
338,frenchman re-3,school district no. re-3 frenchman
339,plateau re-5,school district no. re-5 plateau
340,brush re-2(j),school district no. re-2 brush
353,mapleton 1,adams 1 mapleton
355,adams county 14,adams county boces
358,bennett 29j,bennett school district no. 29j
359,strasburg 31j,strasburg school district 31j
360,alamosa re-11j,alamosa school district no. re-11j
361,sangre de cristo re-22j,sangre de cristo school district no. re-22j
362,englewood 1,arapahoe 1 englewood
364,sheridan 2,arapahoe 2 sheridan
366,cherry creek 5,arapahoe 5 cherry creek
368,littleton 6,arapahoe 6 littleton
370,deer trail 26j,deer trail school district no. 26j
371,adams-arapahoe 28j,adams 27j school district 27j
381,byers 32j,byers school district no. 32j
382,archuleta county 50 jt,archuleta county school district no. 50 jt
383,walsh re-1,walsh school district no. re-1
384,springfield re-4,springfield school district no. re-4
385,las animas re-1,las animas school district no. re-1
386,mcclave re-2,mcclave school district no. re-2
387,st vrain valley re1j,st. vrain valley school district no. re1j
388,boulder valley re 2,boulder re-2 boulder
401,buena vista r-31,buena vista school district no. r-31
402,salida r-32,salida school district no. r-32
403,clear creek re-1,clear creek school district no. re-1
404,north conejos re-1j,gunnison re-1j
454,sanford 6j,burlington public school district no. re-6j
458,centennial r-1,centennial school district no. r-1
459,sierra grande r-30,sierra grande school district no. r-30
460,crowley county re-1-j,crowley county school district no. re-1-j
461,custer county school district c-1,custer county school district consolidate 1
479,delta county 50(j),delta county joint district no. 50
483,denver county 1,denver 1
537,douglas county re 1,douglas county school district no. re 1
538,eagle county re 50,eagle county school district no. re 50
539,kiowa c-2,kiowa county school district no. re-2
564,big sandy 100j,big sandy school district no. 100j
565,elbert 200,elbert school district no. 200
566,calhan rj-1,idalia rj-3 school district
636,harrison 2,el paso 2 harrison
638,widefield 3,el paso 3 widefield
639,fountain 8,el paso 8 fountain
641,colorado springs 11,colorado springs school district no. 11 in the county of e
642,cheyenne mountain 12,el paso 12 cheyenne mountain
644,manitou springs 14,manitou springs school district no. 14 in the county of el
645,academy 20,el paso 20 academy
647,ellicott 22,ellicott school district no. 22 in the county of el paso a
648,peyton 23 jt,archuleta county school district no. 50 jt
654,hanover 28,hanover school district no. 28 in the county of el paso an
656,lewis-palmer 38,el paso 38 lewis palmer
658,district 49,el paso county colorado school district 49
710,miami/yoder 60 jt,miami-yoder joint district no. 60 of the counties of el pas
716,canon city re-1,fremont re-1 canon city
717,cotopaxi re-3,fremont re-3
803,roaring fork re-1,roaring fork school district no. re-1
804,garfield re-2,garfield school district no. re-2
805,garfield 16,garfield school district no. re-2
808,gilpin county re-1,gilpin county school district no. re-1
809,west grand 1-jt,west grand school district no. 1
810,east grand 2,east grand school district no. 2
811,gunnison watershed re1j,gunnison watershed school district re1j
812,huerfano re-1,huerfano school district re-1
813,jefferson county r-1,jefferson county school district no. r-1
814,eads re-1,fremont re-1
912,stratton r-4,weld re-4 windsor
946,burlington re-6j,burlington public school district no. re-6j
947,lake county r-1,lake county school district no. r-1
948,bayfield 10 jt-r,bayfield school district no. 10jt-r
982,ignacio 11 jt,ignacio school district no. 11jt
990,poudre r-1,poudre school district r-1
992,thompson r2-j,thompson school district r-2j
995,estes park r-3,estes park school district r-3
996,trinidad 1,aspen 1
1046,primero reorganized 2,primero reorganized school district no. 2
1047,hoehne reorganized 3,hoehne reorganized school district no. 3
1048,genoa-hugo c113,genoa-hugo school district no. c-113
1049,limon re-4j,limon school district no. re 4j
1050,valley re-1,school district no. re-1 valley
1053,plateau valley 50,plateau valley school district no. 50 in the county of mesa
1054,mesa county valley 51,mesa county valley school district no. 51
1055,moffat county re: no 1,moffat county school district re: no. 1
1056,montezuma-cortez re-1,montezuma-cortez school district no. re-1
1057,dolores re-4a,dolores school district no. re-4a
1058,montrose county re-1j,montrose county school district re-1j
1059,west end re-2,west end school district no. re-2
1060,fort morgan re-3,morgan re-3 fort morgan
1062,weldon valley re-20(j),school district no. re-20 weldon valley
1063,wiggins re-50(j),school district no. re-50 wiggins
1065,east otero r-1,east otero school district no. r1
1116,rocky ford r-2,rocky ford school district no. r2
1146,manzanola 3j,manzanola joint district no. 3j of the counties of otero a
