,year,District Number,District Name,Grade,Mean Scale Score ,subject
0,2017,1,ALACHUA,3,302,Maths
1,2017,2,BAKER,3,307,Maths
2,2017,3,BAY,3,299,Maths
3,2017,4,BRADFORD,3,297,Maths
4,2017,5,BREVARD,3,302,Maths
5,2017,6,BROWARD,3,302,Maths
6,2017,7,CALHOUN,3,305,Maths
7,2017,8,CHARLOTTE,3,306,Maths
8,2017,9,CITRUS,3,304,Maths
9,2017,10,CLAY,3,304,Maths
10,2017,11,COLLIER,3,305,Maths
11,2017,12,COLUMBIA,3,304,Maths
12,2017,13,DADE,3,304,Maths
13,2017,14,DESOTO,3,291,Maths
14,2017,15,DIXIE,3,304,Maths
15,2017,16,DUVAL,3,302,Maths
16,2017,17,ESCAMBIA,3,298,Maths
17,2017,18,FLAGLER,3,306,Maths
18,2017,19,FRANKLIN,3,295,Maths
19,2017,20,GADSDEN,3,298,Maths
20,2017,21,GILCHRIST,3,306,Maths
21,2017,22,GLADES,3,304,Maths
22,2017,23,GULF,3,302,Maths
23,2017,24,HAMILTON,3,298,Maths
24,2017,25,HARDEE,3,304,Maths
25,2017,26,HENDRY,3,295,Maths
26,2017,27,HERNANDO,3,303,Maths
27,2017,28,HIGHLANDS,3,300,Maths
28,2017,29,HILLSBOROUGH,3,299,Maths
29,2017,30,HOLMES,3,298,Maths
30,2017,31,INDIAN RIVER,3,301,Maths
31,2017,32,JACKSON,3,308,Maths
32,2017,33,JEFFERSON,3,292,Maths
33,2017,34,LAFAYETTE,3,307,Maths
34,2017,35,LAKE,3,304,Maths
35,2017,36,LEE,3,299,Maths
36,2017,37,LEON,3,302,Maths
37,2017,38,LEVY,3,303,Maths
38,2017,39,LIBERTY,3,303,Maths
39,2017,40,MADISON,3,302,Maths
40,2017,41,MANATEE,3,296,Maths
41,2017,42,MARION,3,295,Maths
42,2017,43,MARTIN,3,304,Maths
43,2017,44,MONROE,3,303,Maths
44,2017,45,NASSAU,3,312,Maths
45,2017,46,OKALOOSA,3,307,Maths
46,2017,47,OKEECHOBEE,3,303,Maths
47,2017,48,ORANGE,3,303,Maths
48,2017,49,OSCEOLA,3,299,Maths
49,2017,50,PALM BEACH,3,302,Maths
50,2017,51,PASCO,3,299,Maths
51,2017,52,PINELLAS,3,301,Maths
52,2017,53,POLK,3,300,Maths
53,2017,54,PUTNAM,3,295,Maths
54,2017,55,ST. JOHNS,3,312,Maths
55,2017,56,ST. LUCIE,3,298,Maths
56,2017,57,SANTA ROSA,3,308,Maths
57,2017,58,SARASOTA,3,308,Maths
58,2017,59,SEMINOLE,3,305,Maths
59,2017,60,SUMTER,3,307,Maths
60,2017,61,SUWANNEE,3,300,Maths
61,2017,62,TAYLOR,3,303,Maths
62,2017,63,UNION,3,311,Maths
63,2017,64,VOLUSIA,3,301,Maths
64,2017,65,WAKULLA,3,302,Maths
65,2017,66,WALTON,3,307,Maths
66,2017,67,WASHINGTON,3,304,Maths
67,2017,68,DEAF/BLIND,3,278,Maths
68,2017,71,FL VIRTUAL,3,294,Maths
69,2017,72,FAU LAB SCH,3,310,Maths
70,2017,73,FSU LAB SCH,3,313,Maths
71,2017,74,FAMU LAB SCH,3,298,Maths
72,2017,75,UF LAB SCH,3,304,Maths
0,2017,1,ALACHUA,4,317,Maths
1,2017,2,BAKER,4,316,Maths
2,2017,3,BAY,4,316,Maths
3,2017,4,BRADFORD,4,313,Maths
4,2017,5,BREVARD,4,314,Maths
5,2017,6,BROWARD,4,317,Maths
6,2017,7,CALHOUN,4,318,Maths
7,2017,8,CHARLOTTE,4,319,Maths
8,2017,9,CITRUS,4,320,Maths
9,2017,10,CLAY,4,317,Maths
10,2017,11,COLLIER,4,318,Maths
11,2017,12,COLUMBIA,4,319,Maths
12,2017,13,DADE,4,318,Maths
13,2017,14,DESOTO,4,311,Maths
14,2017,15,DIXIE,4,315,Maths
15,2017,16,DUVAL,4,316,Maths
16,2017,17,ESCAMBIA,4,311,Maths
17,2017,18,FLAGLER,4,317,Maths
18,2017,19,FRANKLIN,4,301,Maths
19,2017,20,GADSDEN,4,313,Maths
20,2017,21,GILCHRIST,4,317,Maths
21,2017,22,GLADES,4,310,Maths
22,2017,23,GULF,4,318,Maths
23,2017,24,HAMILTON,4,299,Maths
24,2017,25,HARDEE,4,319,Maths
25,2017,26,HENDRY,4,312,Maths
26,2017,27,HERNANDO,4,317,Maths
27,2017,28,HIGHLANDS,4,315,Maths
28,2017,29,HILLSBOROUGH,4,313,Maths
29,2017,30,HOLMES,4,318,Maths
30,2017,31,INDIAN RIVER,4,314,Maths
31,2017,32,JACKSON,4,322,Maths
32,2017,33,JEFFERSON,4,305,Maths
33,2017,34,LAFAYETTE,4,324,Maths
34,2017,35,LAKE,4,315,Maths
35,2017,36,LEE,4,315,Maths
36,2017,37,LEON,4,318,Maths
37,2017,38,LEVY,4,312,Maths
38,2017,39,LIBERTY,4,316,Maths
39,2017,40,MADISON,4,310,Maths
40,2017,41,MANATEE,4,313,Maths
41,2017,42,MARION,4,312,Maths
42,2017,43,MARTIN,4,318,Maths
43,2017,44,MONROE,4,319,Maths
44,2017,45,NASSAU,4,323,Maths
45,2017,46,OKALOOSA,4,323,Maths
46,2017,47,OKEECHOBEE,4,313,Maths
47,2017,48,ORANGE,4,317,Maths
48,2017,49,OSCEOLA,4,311,Maths
49,2017,50,PALM BEACH,4,317,Maths
50,2017,51,PASCO,4,314,Maths
51,2017,52,PINELLAS,4,317,Maths
52,2017,53,POLK,4,314,Maths
53,2017,54,PUTNAM,4,310,Maths
54,2017,55,ST. JOHNS,4,326,Maths
55,2017,56,ST. LUCIE,4,312,Maths
56,2017,57,SANTA ROSA,4,321,Maths
57,2017,58,SARASOTA,4,322,Maths
58,2017,59,SEMINOLE,4,320,Maths
59,2017,60,SUMTER,4,322,Maths
60,2017,61,SUWANNEE,4,311,Maths
61,2017,62,TAYLOR,4,309,Maths
62,2017,63,UNION,4,326,Maths
63,2017,64,VOLUSIA,4,316,Maths
64,2017,65,WAKULLA,4,314,Maths
65,2017,66,WALTON,4,318,Maths
66,2017,67,WASHINGTON,4,320,Maths
67,2017,68,DEAF/BLIND,4,284,Maths
68,2017,71,FL VIRTUAL,4,305,Maths
69,2017,72,FAU LAB SCH,4,319,Maths
70,2017,73,FSU LAB SCH,4,326,Maths
71,2017,74,FAMU LAB SCH,4,318,Maths
72,2017,75,UF LAB SCH,4,313,Maths
0,2017,1,ALACHUA,5,326,Maths
1,2017,2,BAKER,5,326,Maths
2,2017,3,BAY,5,320,Maths
3,2017,4,BRADFORD,5,318,Maths
4,2017,5,BREVARD,5,322,Maths
5,2017,6,BROWARD,5,324,Maths
6,2017,7,CALHOUN,5,316,Maths
7,2017,8,CHARLOTTE,5,323,Maths
8,2017,9,CITRUS,5,328,Maths
9,2017,10,CLAY,5,323,Maths
10,2017,11,COLLIER,5,326,Maths
11,2017,12,COLUMBIA,5,328,Maths
12,2017,13,DADE,5,324,Maths
13,2017,14,DESOTO,5,310,Maths
14,2017,15,DIXIE,5,315,Maths
15,2017,16,DUVAL,5,322,Maths
16,2017,17,ESCAMBIA,5,319,Maths
17,2017,18,FLAGLER,5,323,Maths
18,2017,19,FRANKLIN,5,310,Maths
19,2017,20,GADSDEN,5,320,Maths
20,2017,21,GILCHRIST,5,325,Maths
21,2017,22,GLADES,5,317,Maths
22,2017,23,GULF,5,322,Maths
23,2017,24,HAMILTON,5,312,Maths
24,2017,25,HARDEE,5,325,Maths
25,2017,26,HENDRY,5,315,Maths
26,2017,27,HERNANDO,5,322,Maths
27,2017,28,HIGHLANDS,5,319,Maths
28,2017,29,HILLSBOROUGH,5,320,Maths
29,2017,30,HOLMES,5,315,Maths
30,2017,31,INDIAN RIVER,5,321,Maths
31,2017,32,JACKSON,5,324,Maths
32,2017,33,JEFFERSON,5,312,Maths
33,2017,34,LAFAYETTE,5,316,Maths
34,2017,35,LAKE,5,321,Maths
35,2017,36,LEE,5,321,Maths
36,2017,37,LEON,5,326,Maths
