,year,District Name,District Code,Subject,Avg. Scaled Score
0,2017,Abby Kelley Foster Charter Public (District),4450000,ELA,496.2
1,2017,Abby Kelley Foster Charter Public (District),4450000,MATH,494.0
2,2017,Abington,10000,ELA,500.4
3,2017,Abington,10000,MATH,499.1
4,2017,Academy Of the Pacific Rim Charter Public (District),4120000,ELA,493.6
5,2017,Academy Of the Pacific Rim Charter Public (District),4120000,MATH,490.6
6,2017,Acton-Boxborough,6000000,ELA,509.9
7,2017,Acton-Boxborough,6000000,MATH,514.4
8,2017,Acushnet,30000,ELA,495.4
9,2017,Acushnet,30000,MATH,498.3
10,2017,Advanced Math and Science Academy Charter (District),4300000,ELA,511.7
11,2017,Advanced Math and Science Academy Charter (District),4300000,MATH,512.9
12,2017,Agawam,50000,ELA,496.9
13,2017,Agawam,50000,MATH,500.2
14,2017,Alma del Mar Charter School (District),4090000,ELA,499.7
15,2017,Alma del Mar Charter School (District),4090000,MATH,500.6
16,2017,Amesbury,70000,ELA,499.8
17,2017,Amesbury,70000,MATH,498.1
18,2017,Amherst,80000,ELA,499.0
19,2017,Amherst,80000,MATH,497.5
20,2017,Amherst-Pelham,6050000,ELA,505.1
21,2017,Amherst-Pelham,6050000,MATH,504.8
22,2017,Andover,90000,ELA,506.4
23,2017,Andover,90000,MATH,507.0
24,2017,Argosy Collegiate Charter School (District),35090000,ELA,489.1
25,2017,Argosy Collegiate Charter School (District),35090000,MATH,488.1
26,2017,Arlington,100000,ELA,509.3
27,2017,Arlington,100000,MATH,507.2
28,2017,Ashburnham-Westminster,6100000,ELA,499.2
29,2017,Ashburnham-Westminster,6100000,MATH,500.9
30,2017,Ashland,140000,ELA,504.2
31,2017,Ashland,140000,MATH,505.4
32,2017,Athol-Royalston,6150000,ELA,487.2
33,2017,Athol-Royalston,6150000,MATH,486.7
34,2017,Atlantis Charter (District),4910000,ELA,498.6
35,2017,Atlantis Charter (District),4910000,MATH,497.6
36,2017,Attleboro,160000,ELA,499.7
37,2017,Attleboro,160000,MATH,498.4
38,2017,Auburn,170000,ELA,504.5
39,2017,Auburn,170000,MATH,502.4
40,2017,Avon,180000,ELA,501.2
41,2017,Avon,180000,MATH,496.1
42,2017,Ayer Shirley School District,6160000,ELA,498.8
43,2017,Ayer Shirley School District,6160000,MATH,495.6
44,2017,Barnstable,200000,ELA,496.2
45,2017,Barnstable,200000,MATH,496.5
46,2017,Barnstable Community Horace Mann Charter Public (District),4270000,ELA,503.5
47,2017,Barnstable Community Horace Mann Charter Public (District),4270000,MATH,504.7
48,2017,Baystate Academy Charter Public School (District),35020000,ELA,491.5
49,2017,Baystate Academy Charter Public School (District),35020000,MATH,489.3
50,2017,Bedford,230000,ELA,507.3
51,2017,Bedford,230000,MATH,508.9
52,2017,Belchertown,240000,ELA,498.3
53,2017,Belchertown,240000,MATH,495.7
54,2017,Bellingham,250000,ELA,498.1
55,2017,Bellingham,250000,MATH,498.9
56,2017,Belmont,260000,ELA,512.3
57,2017,Belmont,260000,MATH,516.0
58,2017,Benjamin Banneker Charter Public (District),4200000,ELA,509.0
59,2017,Benjamin Banneker Charter Public (District),4200000,MATH,506.4
60,2017,Benjamin Franklin Classical Charter Public (District),4470000,ELA,512.3
61,2017,Benjamin Franklin Classical Charter Public (District),4470000,MATH,512.9
62,2017,Bentley Academy Charter School (District),35110000,ELA,492.4
63,2017,Bentley Academy Charter School (District),35110000,MATH,495.4
64,2017,Berkley,270000,ELA,501.6
65,2017,Berkley,270000,MATH,501.3
66,2017,Berkshire Arts and Technology Charter Public (District),4140000,ELA,499.6
67,2017,Berkshire Arts and Technology Charter Public (District),4140000,MATH,500.3
68,2017,Berkshire Hills,6180000,ELA,495.4
69,2017,Berkshire Hills,6180000,MATH,492.3
70,2017,Berlin (non-op),280000,ELA,501.8
71,2017,Berlin (non-op),280000,MATH,501.3
72,2017,Berlin-Boylston,6200000,ELA,501.4
73,2017,Berlin-Boylston,6200000,MATH,503.6
74,2017,Beverly,300000,ELA,500.6
75,2017,Beverly,300000,MATH,499.3
76,2017,Billerica,310000,ELA,498.9
77,2017,Billerica,310000,MATH,500.0
78,2017,Blackstone-Millville,6220000,ELA,497.9
79,2017,Blackstone-Millville,6220000,MATH,495.9
80,2017,Boston,350000,ELA,489.4
81,2017,Boston,350000,MATH,488.8
82,2017,Boston Collegiate Charter (District),4490000,ELA,497.4
83,2017,Boston Collegiate Charter (District),4490000,MATH,500.2
84,2017,Boston Green Academy Horace Mann Charter School (District),4110000,ELA,488.3
85,2017,Boston Green Academy Horace Mann Charter School (District),4110000,MATH,477.0
86,2017,Boston Preparatory Charter Public (District),4160000,ELA,494.7
