,0
0,bronx charter school for children (the)
1,statewide - all districts and charters
2,nrc - nyc
3,"nrc - buffalo, rochester, yonkers, syracuse"
4,nrc - urban-suburban high needs
5,nrc - rural high needs
6,nrc - average needs
7,nrc - low needs
8,nrc - charters
9,albany county
10,montessori magnet school
11,pine hills elementary school
12,delaware community school
13,new scotland elementary school
14,north albany academy
15,albany school of humanities
16,eagle point elementary school
17,thomas s o'brien academy of science & technology
18,giffen memorial elementary school
19,william s hackett middle school
20,arbor hill elementary school
21,philip j schuyler achievement academy
22,sheridan preparatory academy
23,stephen and harriet myers middle school
24,west hill middle school
25,berne-knox-westerlo junior-senior high school
26,berne-knox-westerlo elementary school
27,elsmere elementary school
28,glenmont elementary school
29,hamagrael elementary school
30,slingerlands elementary school
31,bethlehem central middle school
32,albertus w becker school
33,pieter b coeymans school
34,ravena-coeymans-selkirk middle school
35,abram lansing school
36,van schaick island school
37,cohoes middle school
38,harmony hill school
39,roessleville school
40,saddlewood elementary school
41,shaker road elementary school
42,forest park elementary school
43,veeder elementary school
44,sand creek middle school
45,lisha kill middle school
46,menands school
47,blue creek school
48,boght hills school
49,forts ferry school
50,latham ridge school
51,loudonville school
52,southgate school
53,shaker junior high school
54,heatly school
55,altamont elementary school
56,guilderland elementary school
57,westmere elementary school
58,lynnwood elementary school
59,farnsworth middle school
60,voorheesville elementary school
61,voorheesville middle school
62,watervliet elementary school
63,watervliet junior-senior high school
64,allegany county
65,alfred-almond elementary school
66,alfred-almond junior-senior high school
67,andover school
68,genesee valley central school
69,belfast school
70,canaseraga school
71,friendship central school
72,fillmore central school
73,whitesville central school
74,cuba-rushford elementary school
75,cuba-rushford middle school
76,scio central school
77,wellsville secondary school
78,wellsville elementary school
79,bolivar-richburg junior-senior high school
80,bolivar-richburg elementary school
81,broome county
82,chenango forks elementary school
83,chenango forks middle school
84,calvin coolidge school
85,thomas jefferson school
86,macarthur school
87,theodore roosevelt school
88,woodrow wilson school
89,horace mann school
90,w a olmsted elementary school
91,harpursville junior-senior high school
92,f p donnelly school
93,richard t stank middle school
94,chenango bridge elementary school
95,chenango valley middle school
96,homer brink school
97,maine memorial school
98,maine-endwell middle school
99,deposit elementary school
100,deposit middle-senior high school
101,tioughnioga riverside academy
102,caryl e adams primary school
103,charles f johnson jr elementary school
104,george f johnson elementary school
105,linnaeus w west school
106,jennie f snapp middle school
107,thomas j watson sr elementary school
108,ann g mcguinness elementar school
109,johnson city elementary/intermediate school
110,johnson city middle school
111,african road elementary school
112,clayton avenue elementary school
113,glenwood elementary school
114,tioga hills elementary school
115,vestal hills elementary school
116,vestal middle school
117,floyd bell elementary school
118,c r weeks elementary school
119,a f palmer elementary school / windsor central middle school
120,cattaraugus county
121,west valley central school
122,allegany-limestone middle-high school
123,allegany-limestone elementary school
124,ellicottville elementary school
125,ellicottville middle school high school
126,franklinville junior-senior high school
127,franklinville elementary school
128,hinsdale central school
129,cattaraugus-little valley elementary school
130,cattaraugus-little valley middle school
131,washington west elementary school
132,east view elementary school
133,olean senior high school
134,olean intermediate-middle school
135,gowanda elementary school
136,gowanda middle school
137,portville elementary school
138,portville junior-senior high school
139,randolph senior high school
140,g n chapman elementary school
141,randolph academy
142,salamanca high school
143,prospect elementary school
144,seneca intermediate school
145,delevan elementary school
146,pioneer middle school
147,arcade elementary school
148,cayuga county
149,casey park elementary school
150,genesee street elementary school
151,herman avenue elementary school
152,owasco elementary school
153,william h seward elementary school
154,auburn junior high school
155,weedsport junior-senior high school
156,weedsport elementary school
157,cato-meridian elementary school
158,cato-meridian middle school
159,southern cayuga  7-12 secondary school
160,southern cayuga elementary school
161,a a gates elementary school
162,port byron senior high school
163,millard fillmore elementary school
164,moravia junior-senior high school
165,andrew j smith elementary school
166,cayuga elementary school
167,union springs middle school
168,chautauqua county
169,southwestern middle school
170,southwestern elementary school
171,robert h jackson elementary school
172,frewsburg junior-senior high school
173,sinclairville elementary school
174,cassadaga valley middle/high school
175,chautauqua lake secondary school
176,chautauqua lake elementary school
177,pine valley elementary school
178,pine valley central junior-senior high school
179,clymer central school
180,school 7
181,dunkirk middle school
182,bemus point elementary school
183,maple grove junior/senior high school
184,harvey c fenner elementary school
185,falconer middle/high school
186,silver creek middle school
187,silver creek elementary school
188,forestville elementary school
189,forestville central high school
190,panama high school
191,panama k-6 school
192,carlyle c ring elementary school
193,clinton v bush elementary school
194,persell middle school
195,milton j fletcher elementary school
196,samuel g love elementary school
197,thomas jefferson middle school
198,abraham lincoln elementary school
199,george washington middle school
200,fredonia elementary school
201,fredonia middle school
202,brocton elementary school
203,brocton middle high school
204,ripley central school
205,sherman elementary school
206,sherman high school
207,westfield elementary school
208,westfield middle school
209,chemung county
210,hendy avenue school 
211,parley coburn school
212,thomas k beecher school
213,broadway academy
214,ernie davis academy
215,broadway elementary school
216,finn academy-an elmira charter school
217,ridge road school
218,big flats school
219,gardner road elementary school
220,horseheads middle school
221,horseheads intermediate school
222,cohen middle school
223,cohen elementary school
224,chenango county
225,afton elementary school
226,afton junior/senior high school
227,bainbridge-guilford high school
228,greenlawn elementary school
229,greene intermediate school
230,greene middle school
231,unadilla valley secondary school
232,unadilla valley elementary school
233,perry browne intermediate school
234,norwich middle school
235,otselic valley central school
236,oxford academy middle school
237,oxford academy primary school
238,sherburne-earlville elementary school
239,sherburne-earlville middle school
240,clinton county
241,keeseville primary school
242,ausable forks elementary school
243,ausable valley middle school
244,beekmantown elementary school
245,cumberland head elementary school
246,beekmantown middle school
247,rouses point elementary school
248,mooers elementary school
249,northeastern clinton middle school
250,chazy central rural elementary school
251,chazy central rural junior-senior high school
252,northern adirondack elementary school
253,northern adirondack middle/high school
254,peru elementary school
255,peru jr/sr high school
256,arthur p momot elementary school
257,oak street school
258,stafford middle school
259,morrisonville elementary school
260,saranac elementary school
261,saranac middle school
262,columbia county
263,taconic hillsjunior/senior high school
264,taconic hills elementary school
265,germantown elementary school
266,germantown junior-senior high school
267,mary e dardess elementary school
268,chatham middle school
269,montgomery c smith intermediate school
270,hudson junior high school
271,ichabod crane primary school
272,ichabod crane middle school
273,ichabod crane elementary school
274,walter b howard elementary school
275,new lebanon junior-senior high school
276,cortland county
277,cincinnatus elementary school
278,cincinnatus middle school
279,franklyn s barry school
280,virgil elementary school
281,alton b parker school
282,randall school
283,f e smith school
284,cortland high school
285,mcgraw elementary school
286,mcgraw secondary school
287,homer intermediate school
288,homer junior high school
289,marathon high school
290,william appleby elementary school
291,delaware county
292,andes central school
293,downsville central school
294,charlotte valley school
295,delaware academy elementary school
296,delaware academy high school
297,franklin central school
298,hancock elementary school
299,hancock junior-senior high school
300,margaretville central school
301,roxbury central school
302,sidney elementary school
303,sidney middle school
304,stamford central school
305,south kortright central school
306,townsend elementary school
307,walton middle school
308,dutchess county
309,j v forrestal elementary school
310,south avenue school
311,glenham school
312,rombout middle school
313,sargent school
314,dover elementary school
315,dover middle school
316,netherwood school
317,ralph r smith school
318,violet avenue school
319,haviland middle school
320,north park elementary school
321,webutuck elementary school
322,eugene brooks middle school
323,pawling elementary school
324,pawling middle school
325,seymour smith intermediate learning center
326,stissing mountain middle school
327,warring magnet academy of science and technology
328,gov george clinton school
329,g w krieger school
330,morse young magnet school
331,poughkeepsie middle school
332,arthur s may school
333,beekman school
334,west road/d'aquannis intermediate school
335,noxon road elementary school
336,lagrange middle school
337,titusville intermediate 
338,vail farm elementary school
339,union vale middle school
340,hagan school
341,orville a todd middle school
342,linden avenue middle school
343,mill road-intermediate grades
344,chancellor livingston elementary school
345,bulkeley middle school
346,brinckerhoff elementary school
347,fishkill elementary school
348,fishkill plains elementary school
349,gayhead school
350,james s evans elementary school
351,kinry road elementary school
352,vassar road elementary school
353,sheafe road elementary school
354,van wyck junior high school
355,wappingers junior high school
356,oak grove elementary school
357,myers corners school
358,millbrook middle school
359,alden place elementary school
360,erie county
361,alden middle school
362,alden intermediate school
363,amherst middle school
